map01100 Metabolic pathways (2020)

  ko:K00175 korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
  ko:K00176 korD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
  ko:K00177 korC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
  ko:K00184 dmsB; dimethyl sulfoxide reductase iron-sulfur subunit
  ko:K00185 dmsC; dimethyl sulfoxide reductase membrane subunit
  ko:K00186 vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
  ko:K00187 vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
  ko:K00192 cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
  ko:K00193 cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
  ko:K00194 cdhD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
  ko:K00195 cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
  ko:K00196 cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
  ko:K00197 cdhE; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
  ko:K00198 cooS; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
  ko:K00200 fwdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
  ko:K00201 fwdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
  ko:K00202 fwdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
  ko:K00203 fwdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
  ko:K00204 fwdH; 4Fe-4S ferredoxin
  ko:K00205 fwdF; 4Fe-4S ferredoxin
  ko:K00207 DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
  ko:K00208 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
  ko:K00213 DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
  ko:K00214 BLVRA; biliverdin reductase [EC:1.3.1.24]
  ko:K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
  ko:K00217 E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
  ko:K00218 por; protochlorophyllide reductase [EC:1.3.1.33]
  ko:K00220 tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
  ko:K00223 ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]
  ko:K00226 pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
  ko:K00228 CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
  ko:K00230 hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
  ko:K00231 PPOX; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
  ko:K00232 E1.3.3.6; acyl-CoA oxidase [EC:1.3.3.6]
  ko:K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
  ko:K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
  ko:K00241 sdhC; succinate dehydrogenase cytochrome b subunit
  ko:K00242 sdhD; succinate dehydrogenase membrane anchor subunit
  ko:K00244 frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
  ko:K00245 frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
  ko:K00246 frdC; succinate dehydrogenase subunit C
  ko:K00247 frdD; succinate dehydrogenase subunit D
  ko:K00248 ACADS; butyryl-CoA dehydrogenase [EC:1.3.8.1]
  ko:K00249 ACADM; acyl-CoA dehydrogenase [EC:1.3.8.7]
  ko:K00252 GCDH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
  ko:K00253 IVD; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
  ko:K00254 DHODH; dihydroorotate dehydrogenase [EC:1.3.5.2]
  ko:K00255 ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
  ko:K00259 ald; alanine dehydrogenase [EC:1.4.1.1]
  ko:K00260 gudB; glutamate dehydrogenase [EC:1.4.1.2]
  ko:K00261 GLUD1_2; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
  ko:K00262 E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
  ko:K00263 E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
  ko:K00265 gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
